8/12/2023, 'Hoffenheim v Bochum'],Exit position at minute 23.0 at level odds 2.02 - profit =,0.0653,1.888,0.888,minute =,8,,,,
16/12/2023, 'Plymouth v Rotherham'],Exit position at minute 15.0 at level odds 1.74 - profit =,-0.0428,1.8145,0.8145,minute =,6,,,,
16/12/2023, 'Barnsley v Charlton'],Exit position at minute 15.0 at level odds 1.96 - profit =,-0.0243,2.007666667,1.007666667,minute =,8,,,,
16/12/2023, 'Stevenage v Exeter'],Exit position at minute 15.0 at level odds 1.64 - profit =,0.0093,1.624666667,0.624666667,minute =,6,,,,
16/12/2023, 'Bolton v Bristol Rovers'],Exit position at minute 14.0 on away goal at odds 2.7 - profit =,0.3199,1.836166667,0.836166667,minute =,10,,,,
16/12/2023, 'Celtic v Hearts'],Exit position at minute 15.0 at level odds 1.35 - profit =,0.0741,1.25,0.25,minute =,8,,,,
17/12/2023, 'Fiorentina v Verona'],Exit position at minute 19.0 at level odds 1.77 - profit =,0.0506,1.6805,0.6805,minute =,8,,,,
17/12/2023, 'Leverkusen v Eintracht Frankfurt'],Exit position at minute 19.0 at level odds 1.15 - profit =,-0.1568,1.330333333,0.330333333,minute =,6,,,,
17/12/2023, 'Liverpool v Man Utd'],Exit position at minute 18.0 at level odds 1.4 - profit =,-0.0149,1.420833333,0.420833333,minute =,12,,,,
19/12/2023, 'Napoli v Frosinone'],Exit position at minute 23.0 at level odds 1.65 - profit =,0.0673,1.539,0.539,minute =,6,,,,
20/12/2023, 'Liverpool v West Ham'],Exit position at minute 15.0 at level odds 1.52 - profit =,-0.0655,1.6195,0.6195,minute =,6,,,,
20/12/2023, 'Eintracht Frankfurt v Mgladbach'],Exit position at minute 15.0 at level odds 1.89 - profit =,0.0058,1.879,0.879,minute =,6,,,,
20/12/2023, 'Aberdeen v Livingston'],Exit position at minute 31.0 on away goal at odds 3.95 - profit =,0.5361,1.8325,0.8325,minute =,20,,,,
20/12/2023, 'Leverkusen v Bochum'],Exit position at minute 16.0 at level odds 1.34 - profit =,0.0226,1.309666667,0.309666667,minute =,12,,,,
20/12/2023, 'Stuttgart v Augsburg'],Exit position at minute 15.0 at level odds 1.45 - profit =,-0.0084,1.462166667,0.462166667,minute =,10,,,,
29/12/2023, 'Hull v Blackburn'],Exit position at minute 16.0 at level odds 1.43 - profit =,-0.3787,1.9715,0.9715,minute =,10,,,,
29/12/2023, 'Ipswich v QPR'],Exit position at minute 15.0 at level odds 1.78 - profit =,0.0358,1.716333333,0.716333333,minute =,6,,,,
30/12/2023, 'Atalanta v Lecce'],Exit position at minute 15.0 at level odds 1.44 - profit =,0.0113,1.423666667,0.423666667,minute =,6,,,,
1/1/2024, 'Reading v Exeter'],Exit position at minute 12.0 on home goal at odds 1.33 - profit =,-0.3871,1.844833333,0.844833333,minute =,8,,,,
1/1/2024, 'Sunderland v Preston'],Exit position at minute 15.0 at level odds 1.31 - profit =,-0.3761,1.802666667,0.802666667,minute =,6,,,,
1/1/2024, 'Blackpool v Lincoln'],Exit position at minute 30.0 at level odds 1.25 - profit =,-0.288,1.61,0.61,minute =,8,,,,
1/1/2024, 'Bolton v Burton Albion'],Exit position at minute 15.0 at level odds 1.41 - profit =,0.0332,1.363166667,0.363166667,minute =,8,,,,
1/1/2024, 'Leicester v Huddersfield'],Exit position at minute 16.0 at level odds 1.34 - profit =,-0.0007,1.341,0.341,minute =,12,,,,
2/1/2024, 'AC Milan v Cagliari'],Exit position at minute 15.0 at level odds 1.74 - profit =,-0.028,1.788666667,0.788666667,minute =,6,,,,
3/1/2024, 'Atalanta v Sassuolo'],Exit position at minute 15.0 at level odds 1.42 - profit =,-0.0369,1.472333333,0.472333333,minute =,8,,,,
3/1/2024, 'Real Madrid v Mallorca'],Exit position at minute 15.0 at level odds 1.28 - profit =,-0.0139,1.297833333,0.297833333,minute =,6,,,,
4/1/2024, 'Osasuna v Almeria'],Exit position at minute 21.0 at level odds 1.87 - profit =,-0.0175,1.902666667,0.902666667,minute =,16,,,,
7/1/2024, 'Le Havre v Caen'],Exit position at minute 18.0 at level odds 1.3 - profit =,-0.421,1.847333333,0.847333333,minute =,6,,,,
13/1/2024, 'Betis v Granada'],Exit position at minute 15.0 at level odds 1.87 - profit =,-0.0216,1.910333333,0.910333333,minute =,10,,,,
13/1/2024, 'Napoli v Salernitana'],Exit position at minute 25.0 at level odds 1.41 - profit =,-0.0246,1.444666667,0.444666667,minute =,20,,,,
13/1/2024, 'Southampton v Sheff Wed'],Exit position at minute 15.0 at level odds 1.39 - profit =,-0.0195,1.417166667,0.417166667,minute =,6,,,,
14/1/2024, 'Lazio v Lecce'],Exit position at minute 27.0 at level odds 1.88 - profit =,0.0793,1.730833333,0.730833333,minute =,12,,,,
14/1/2024, 'Fiorentina v Udinese'],Exit position at minute 22.0 at level odds 3.18 - profit =,0.4265,1.823833333,0.823833333,minute =,8,,,,
